Nome;Nome Completo;Criado em;Atualizado em;Linguagem Principal;Qtd PRs Válidos
echarts;apache/echarts;2013-04-03T03:18:59Z;2025-04-27T19:45:35Z;TypeScript;0
awesome-cpp;fffaraz/awesome-cpp;2014-07-17T08:51:11Z;2025-04-27T15:52:54Z;N/A;0
the-algorithm;twitter/the-algorithm;2023-03-27T14:57:57Z;2025-04-27T19:33:23Z;Scala;0
cs-self-learning;PKUFlyingPig/cs-self-learning;2021-10-20T13:43:42Z;2025-04-27T20:51:47Z;HTML;0
awesome-public-datasets;awesomedata/awesome-public-datasets;2014-11-20T06:20:50Z;2025-04-27T18:03:09Z;N/A;0
keras;keras-team/keras;2015-03-28T00:35:42Z;2025-04-27T18:57:07Z;Python;0
nocode;kelseyhightower/nocode;2018-02-06T23:54:00Z;2025-04-27T20:59:43Z;Dockerfile;0
AppFlowy;AppFlowy-IO/AppFlowy;2021-06-16T12:56:48Z;2025-04-27T20:29:23Z;Dart;0
SecLists;danielmiessler/SecLists;2012-02-19T01:30:18Z;2025-04-27T21:04:38Z;PHP;0
resume.github.com;resume/resume.github.com;2011-02-06T13:39:55Z;2025-04-27T21:56:31Z;JavaScript;0
sway;FuelLabs/sway;2021-01-19T20:54:33Z;2025-04-27T07:09:59Z;Rust;0
socket.io;socketio/socket.io;2010-03-11T18:24:48Z;2025-04-27T11:43:34Z;TypeScript;0
scikit-learn;scikit-learn/scikit-learn;2010-08-17T09:43:38Z;2025-04-27T16:39:55Z;Python;0
Apollo-11;chrislgarry/Apollo-11;2014-04-03T15:45:02Z;2025-04-27T21:57:28Z;Assembly;0
Java;TheAlgorithms/Java;2016-07-16T10:21:02Z;2025-04-27T19:44:08Z;Java;0
redux;reduxjs/redux;2015-05-29T23:53:15Z;2025-04-27T13:31:08Z;TypeScript;0
awesome-nodejs;sindresorhus/awesome-nodejs;2014-07-11T13:35:34Z;2025-04-27T21:12:08Z;N/A;0
localsend;localsend/localsend;2022-12-16T00:46:07Z;2025-04-27T20:49:17Z;Dart;0
design-resources-for-developers;bradtraversy/design-resources-for-developers;2020-05-06T14:40:35Z;2025-04-27T19:08:47Z;N/A;0
act;nektos/act;2019-01-02T19:53:43Z;2025-04-27T21:57:18Z;Go;0
atom;atom/atom;2012-01-20T18:18:21Z;2025-04-27T20:31:25Z;JavaScript;0
lodash;lodash/lodash;2012-04-07T04:11:46Z;2025-04-27T20:07:14Z;JavaScript;0
annotated_deep_learning_paper_implementations;labmlai/annotated_deep_learning_paper_implementations;2020-08-25T02:29:34Z;2025-04-27T20:19:14Z;Python;0
Front-end-Developer-Interview-Questions;h5bp/Front-end-Developer-Interview-Questions;2012-02-09T23:34:10Z;2025-04-27T16:12:09Z;Nunjucks;0
awesome-courses;prakhar1989/awesome-courses;2014-11-15T18:36:49Z;2025-04-27T21:08:26Z;N/A;0
docusaurus;facebook/docusaurus;2017-06-20T16:13:53Z;2025-04-27T20:48:56Z;TypeScript;0
